week;acquisition;buzz event;media event;holidays;promotions;lag_traditional advertising;lag_Twitter_valence;lag_Twitter_volume;lag_FB_impressions
106;1666;0;1;1;0;49082;0,305365243;1803;31986
107;1551;0;0;1;0;49590;0,722842083;2484;11871
108;1621;0;0;1;0;21430;0,287480686;2305;25963
109;1695;0;1;1;0;59727;0,314744683;1908;34144
110;1664;0;1;1;0;74057;0,565141238;2147;493327
111;1244;0;0;0;0;65508;0,358915677;2583;68275
112;1177;0;0;0;0;616889;0,468442086;1996;16525
113;1127;0;0;0;0;272369;0,649566865;2063;45164
114;1229;0;0;0;0;397358;0,264892102;2231;150596
115;1151;0;0;0;1;188616;0,453257356;2145;31801
116;948;0;0;0;0;29141;0,245839695;1899;24076
117;915;0;0;0;0;123967;0,641580703;1814;342540
118;1174;0;1;0;0;219096;0,667897206;2249;191577
119;1226;0;0;0;0;124647;0,829633452;2276;39855
